ID,start_timestamp,end_timestamp,PlayerName (Team),next_action_type,next_action_result,FXID,ShirtNumber,HomeAway,FxTID,TeamName,PlayerID,PlayerFirstName,PlayerLastName,Period,MatchTime,FxDate,HomeTeam,AwayTeam
1,18.786145124716555,23.786145124716555,Sojiro Otsuka (Japan),Ruck,Green,951846,1,A,3000,Japan,61689,Sojiro,Otsuka,1,8,19/09/2026,Fiji,Japan
2,20.970612545,25.970612545,Faulua Makisi (Japan),Ruck,Green,951846,8,A,3000,Japan,23417,Faulua,Makisi,1,19,19/09/2026,Fiji,Japan
3,20.970612545,25.970612545,Ben Gunter (Japan),Ruck,Green,951846,6,A,3000,Japan,26283,Ben,Gunter,1,19,19/09/2026,Fiji,Japan
4,21.992348778294915,28.40124031998124,Harry Hockings (Japan),Carry,Green,951846,5,A,3000,Japan,24957,Harry,Hockings,1,22,19/09/2026,Fiji,Japan
5,23.345514688,28.345514688,Tomoki Osada (Japan),Ruck,Red,951846,11,A,3000,Japan,31059,Tomoki,Osada,1,22,19/09/2026,Fiji,Japan
6,25.785506499,30.785506499,Jack Cornelsen (Japan),Carry,Green,951846,4,A,3000,Japan,23697,Jack,Cornelsen,1,24,19/09/2026,Fiji,Japan
7,27.700057424326545,37.601035283001934,Mesake Doge (Fiji),Tackle,Red,951846,3,H,954,Fiji,20730,Mesake,Doge,1,26,19/09/2026,Fiji,Japan
8,31.398461631000004,36.398461631,Kanji Shimokawa (Japan),Ruck,Green,951846,7,A,3000,Japan,30962,Kanji,Shimokawa,1,30,19/09/2026,Fiji,Japan
9,32.098449430995004,40.70035451367251,Mesake Vocevoce (Fiji),Tackle,Green,951846,4,H,954,Fiji,59793,Mesake,Vocevoce,1,31,19/09/2026,Fiji,Japan
10,33.860717279,38.860717279,Shuhei Takeuchi (Japan),Ruck,Green,951846,3,A,3000,Japan,37874,Shuhei,Takeuchi,1,32,19/09/2026,Fiji,Japan
11,33.982574615,38.982574615,Mamoru Harada (Japan),Ruck,Yellow,951846,2,A,3000,Japan,34483,Mamoru,Harada,1,32,19/09/2026,Fiji,Japan
12,76.159189897,98.052409718,Mesake Doge (Fiji),Lineout Defence,Green,951846,3,H,954,Fiji,20730,Mesake,Doge,1,113,19/09/2026,Fiji,Japan
13,76.159189897,98.052409718,Kitione Salawa (Fiji),Lineout Defence,Green,951846,6,H,954,Fiji,35673,Kitione,Salawa,1,113,19/09/2026,Fiji,Japan
14,78.411414379,98.052409718,Motikiai Murray (Fiji),Lineout Defence,Green,951846,7,H,954,Fiji,56377,Motikiai,Murray,1,113,19/09/2026,Fiji,Japan
15,79.153695399,98.052409718,Mesake Vocevoce (Fiji),Lineout Defence,Green,951846,4,H,954,Fiji,59793,Mesake,Vocevoce,1,113,19/09/2026,Fiji,Japan
16,80.01049037,98.052409718,Peni Ravai (Fiji),Lineout Defence,Green,951846,1,H,954,Fiji,21369,Peni,Ravai,1,113,19/09/2026,Fiji,Japan
17,89.582324002,94.582324002,Kanji Shimokawa (Japan),Lineout Attack,Green,951846,7,A,3000,Japan,30962,Kanji,Shimokawa,1,129,19/09/2026,Fiji,Japan
18,89.81715058,98.052409718,Tevita Ikanivere (Fiji),Lineout Defence,Green,951846,2,H,954,Fiji,34455,Tevita,Ikanivere,1,129,19/09/2026,Fiji,Japan
19,89.81715058,98.052409718,Temo Mayanavanua (Fiji),Lineout Defence,Green,951846,5,H,954,Fiji,28186,Temo,Mayanavanua,1,129,19/09/2026,Fiji,Japan
20,90.22547005,95.22547005,Mamoru Harada (Japan),Lineout Attack,Green,951846,2,A,3000,Japan,34483,Mamoru,Harada,1,129,19/09/2026,Fiji,Japan
21,93.652770869,101.080291497,Yuya Hirose (Japan),Ruck,Red,951846,12,A,3000,Japan,61922,Yuya,Hirose,1,132,19/09/2026,Fiji,Japan
22,93.770815676,98.770815676,Sojiro Otsuka (Japan),Lineout Attack,Green,951846,1,A,3000,Japan,61689,Sojiro,Otsuka,1,132,19/09/2026,Fiji,Japan
23,93.770815676,98.770815676,Shuhei Takeuchi (Japan),Lineout Attack,Green,951846,3,A,3000,Japan,37874,Shuhei,Takeuchi,1,132,19/09/2026,Fiji,Japan
24,93.770815676,98.770815676,Jack Cornelsen (Japan),Lineout Attack,Green,951846,4,A,3000,Japan,23697,Jack,Cornelsen,1,132,19/09/2026,Fiji,Japan
25,93.770815676,98.770815676,Faulua Makisi (Japan),Lineout Attack,Green,951846,8,A,3000,Japan,23417,Faulua,Makisi,1,132,19/09/2026,Fiji,Japan
26,93.770815676,98.770815676,Harry Hockings (Japan),Lineout Attack,Green,951846,5,A,3000,Japan,24957,Harry,Hockings,1,132,19/09/2026,Fiji,Japan
27,93.770815676,98.770815676,Ben Gunter (Japan),Lineout Attack,Green,951846,6,A,3000,Japan,26283,Ben,Gunter,1,132,19/09/2026,Fiji,Japan
28,94.08659199631744,105.00103734533572,Elia Canakaivata (Fiji),Tackle,Red,951846,8,H,954,Fiji,34647,Elia,Canakaivata,1,132,19/09/2026,Fiji,Japan
29,96.080291497,103.982445457,Tomoki Osada (Japan),Carry,Green,951846,11,A,3000,Japan,31059,Tomoki,Osada,1,135,19/09/2026,Fiji,Japan
