ID,start_timestamp,end_timestamp,PlayerName (Team),next_action_type,next_action_result,FXID,ShirtNumber,HomeAway,FxTID,TeamName,PlayerID,PlayerFirstName,PlayerLastName,Period,MatchTime
1,11.58918752299639,18.697098022997466,Ben Gunter (Japan),Jackler,Green,946410,6,H,3000,Japan,26283,Ben,Gunter,1,7
2,14.855340022,19.855340022,Kanji Shimokawa (Japan),Tackle,Green,946410,7,H,3000,Japan,30962,Kanji,Shimokawa,1,12
3,16.349778656,21.349778656,Carlo Tizzano (Australia),Ruck,Green,946410,7,A,100,Australia,32330,Carlo,Tizzano,1,13
4,17.339074867,22.339074867,Hunter Paisami (Australia),Ruck,Green,946410,12,A,100,Australia,27748,Hunter,Paisami,1,14
5,18.771699806,23.771699806,Josh Nasser (Australia),Ruck,Red,946410,2,A,100,Australia,25507,Josh,Nasser,1,15
6,19.381018162,24.381018162,Andrew Kellaway (Australia),Carry,Green,946410,15,A,100,Australia,21789,Andrew,Kellaway,1,17
7,20.140672644,25.140672644,Rob Valetini (Australia),Ruck,Green,946410,8,A,100,Australia,26989,Rob,Valetini,1,17
8,22.476341888,27.476341888,Kenta Kobayashi (Japan),Tackle,Green,946410,1,H,3000,Japan,34481,Kenta,Kobayashi,1,18
9,22.476341888,32.19653916233355,Jack Cornelsen (Japan),Tackle,Red,946410,4,H,3000,Japan,23697,Jack,Cornelsen,1,18
10,22.992542456,27.992542456,Nicholas Champion de Crespigny (Australia),Ruck,Green,946410,6,A,100,Australia,30375,Nicholas,Champion de Crespigny,1,20
11,25.248955886,30.248955886,Zane Nonggorr (Australia),Carry,Green,946410,3,A,100,Australia,31908,Zane,Nonggorr,1,21
12,25.765046659,30.765046659,Angus Bell (Australia),Ruck,Yellow,946410,1,A,100,Australia,32109,Angus,Bell,1,21
13,25.886226033330775,37.733356619,Hayate Era (Japan),Tackle,Green,946410,2,H,3000,Japan,61955,Hayate,Era,1,21
14,27.055697193999997,32.055697194,Shuhei Takeuchi (Japan),Tackle,Green,946410,3,H,3000,Japan,37874,Shuhei,Takeuchi,1,26
15,32.734608803,37.734608803,Warner Dearns (Japan),Charge Down,Green,946410,5,H,3000,Japan,40399,Warner,Dearns,1,28
16,48.00189752,61.999733376,Angus Bell (Australia),Lineout Defence,Green,946410,1,A,100,Australia,32109,Angus,Bell,1,46
17,48.00189752,61.999733376,Zane Nonggorr (Australia),Lineout Defence,Green,946410,3,A,100,Australia,31908,Zane,Nonggorr,1,46
18,48.00189752,61.999733376,Jeremy Williams (Australia),Lineout Defence,Green,946410,4,A,100,Australia,32101,Jeremy,Williams,1,46
19,48.00189752,61.999733376,Lukhan Salakaia-Loto (Australia),Lineout Defence,Green,946410,5,A,100,Australia,23334,Lukhan,Salakaia-Loto,1,46
20,48.00189752,61.999733376,Nicholas Champion de Crespigny (Australia),Lineout Defence,Green,946410,6,A,100,Australia,30375,Nicholas,Champion de Crespigny,1,46
21,48.33956916099773,64.70023655966604,Kenta Kobayashi (Japan),Lineout Attack,Green,946410,1,H,3000,Japan,34481,Kenta,Kobayashi,1,46
22,48.33956916099773,64.70023655966604,Shuhei Takeuchi (Japan),Lineout Attack,Green,946410,3,H,3000,Japan,37874,Shuhei,Takeuchi,1,46
23,48.836779827,64.70023655966604,Hayate Era (Japan),Lineout Attack,Green,946410,2,H,3000,Japan,61955,Hayate,Era,1,46
24,48.836779827,64.70023655966604,Ben Gunter (Japan),Lineout Attack,Green,946410,6,H,3000,Japan,26283,Ben,Gunter,1,46
25,53.527977351,61.19611784732992,Jack Cornelsen (Japan),Lineout Attack,Yellow,946410,4,H,3000,Japan,23697,Jack,Cornelsen,1,50
26,54.558356191,59.558356191,Warner Dearns (Japan),Lineout Attack,Yellow,946410,5,H,3000,Japan,40399,Warner,Dearns,1,52
27,55.440246521,60.440246521,Dylan Pietsch (Australia),Tackle,Green,946410,11,A,100,Australia,27375,Dylan,Pietsch,1,51
28,55.984459731,64.994059064,Shogo Nakano (Japan),Carry,Green,946410,12,H,3000,Japan,36750,Shogo,Nakano,1,51
29,58.971835737,63.971835737,Tomoki Osada (Japan),Ruck,Green,946410,11,H,3000,Japan,31059,Tomoki,Osada,1,56
30,58.971835737,67.50038244199905,Ben Gunter (Japan),Ruck,Green,946410,6,H,3000,Japan,26283,Ben,Gunter,1,56
31,60.134236571,65.134236571,Josh Nasser (Australia),Jackler,Green,946410,2,A,100,Australia,25507,Josh,Nasser,1,57
32,62.736982291,67.736982291,Rob Valetini (Australia),Ruck,Yellow,946410,8,A,100,Australia,26989,Rob,Valetini,1,55
33,67.735874957,72.735874957,Josh Nasser (Australia),Ruck,Green,946410,2,A,100,Australia,25507,Josh,Nasser,1,105
34,67.735874957,77.846513797,Angus Bell (Australia),Kick Chase,Green,946410,1,A,100,Australia,32109,Angus,Bell,1,105
35,67.735874957,77.846513797,Josh Nasser (Australia),Kick Chase,Green,946410,2,A,100,Australia,25507,Josh,Nasser,1,105
36,67.735874957,77.846513797,Zane Nonggorr (Australia),Kick Chase,Green,946410,3,A,100,Australia,31908,Zane,Nonggorr,1,105
37,67.735874957,77.846513797,Jeremy Williams (Australia),Kick Chase,Green,946410,4,A,100,Australia,32101,Jeremy,Williams,1,105
38,67.735874957,77.846513797,Lukhan Salakaia-Loto (Australia),Kick Chase,Green,946410,5,A,100,Australia,23334,Lukhan,Salakaia-Loto,1,105
39,67.735874957,77.846513797,Nicholas Champion de Crespigny (Australia),Kick Chase,Green,946410,6,A,100,Australia,30375,Nicholas,Champion de Crespigny,1,105
40,67.735874957,77.846513797,Carlo Tizzano (Australia),Kick Chase,Green,946410,7,A,100,Australia,32330,Carlo,Tizzano,1,105
41,67.735874957,77.846513797,Rob Valetini (Australia),Kick Chase,Green,946410,8,A,100,Australia,26989,Rob,Valetini,1,105
42,67.735874957,77.846513797,Dylan Pietsch (Australia),Kick Chase,Green,946410,11,A,100,Australia,27375,Dylan,Pietsch,1,105
43,67.735874957,77.846513797,Hunter Paisami (Australia),Kick Chase,Green,946410,12,A,100,Australia,27748,Hunter,Paisami,1,105
44,67.735874957,77.846513797,Josh Flook (Australia),Kick Chase,Green,946410,13,A,100,Australia,32110,Josh,Flook,1,105
45,67.735874957,77.846513797,Corey Toole (Australia),Kick Chase,Green,946410,14,A,100,Australia,32171,Corey,Toole,1,105
46,67.752914548,81.809830491,Kenta Kobayashi (Japan),Kick Retreat,Green,946410,1,H,3000,Japan,34481,Kenta,Kobayashi,1,105
47,67.752914548,81.809830491,Hayate Era (Japan),Kick Retreat,Green,946410,2,H,3000,Japan,61955,Hayate,Era,1,105
48,67.752914548,81.809830491,Shuhei Takeuchi (Japan),Kick Retreat,Green,946410,3,H,3000,Japan,37874,Shuhei,Takeuchi,1,105
49,67.752914548,81.809830491,Jack Cornelsen (Japan),Kick Retreat,Green,946410,4,H,3000,Japan,23697,Jack,Cornelsen,1,105
50,67.752914548,81.809830491,Warner Dearns (Japan),Kick Retreat,Green,946410,5,H,3000,Japan,40399,Warner,Dearns,1,105
51,67.752914548,81.809830491,Ben Gunter (Japan),Kick Retreat,Green,946410,6,H,3000,Japan,26283,Ben,Gunter,1,105
52,67.752914548,81.809830491,Kanji Shimokawa (Japan),Kick Retreat,Green,946410,7,H,3000,Japan,30962,Kanji,Shimokawa,1,105
53,67.752914548,81.809830491,Michael Leitch (Japan),Kick Retreat,Green,946410,8,H,3000,Japan,11306,Michael,Leitch,1,105
54,67.752914548,81.809830491,Shinobu Fujiwara (Japan),Kick Retreat,Green,946410,9,H,3000,Japan,30969,Shinobu,Fujiwara,1,105
55,67.752914548,81.809830491,Tomoki Osada (Japan),Kick Retreat,Green,946410,11,H,3000,Japan,31059,Tomoki,Osada,1,105
56,67.752914548,81.809830491,Shogo Nakano (Japan),Kick Retreat,Green,946410,12,H,3000,Japan,36750,Shogo,Nakano,1,105
57,67.752914548,81.809830491,Dylan Riley (Japan),Kick Retreat,Green,946410,13,H,3000,Japan,27652,Dylan,Riley,1,105
58,67.752914548,81.809830491,Kippei Ishida (Japan),Kick Retreat,Green,946410,14,H,3000,Japan,34036,Kippei,Ishida,1,105
59,67.792670215,72.792670215,Zane Nonggorr (Australia),Ruck,Green,946410,3,A,100,Australia,31908,Zane,Nonggorr,1,105
60,67.792670215,72.792670215,Nicholas Champion de Crespigny (Australia),Ruck,Green,946410,6,A,100,Australia,30375,Nicholas,Champion de Crespigny,1,105
61,68.801714094,73.801714094,Angus Bell (Australia),Carry,Green,946410,1,A,100,Australia,32109,Angus,Bell,1,105
62,68.822889819,77.846513797,Jake Gordon (Australia),Kick Chase,Green,946410,9,A,100,Australia,22275,Jake,Gordon,1,105
63,69.7873964173351,89.00083166233289,Kenta Kobayashi (Japan),Kick Chase,Green,946410,1,H,3000,Japan,34481,Kenta,Kobayashi,1,105
64,70.19965120832946,89.00083166233289,Hayate Era (Japan),Kick Chase,Green,946410,2,H,3000,Japan,61955,Hayate,Era,1,105
65,70.760097043,89.00083166233289,Shuhei Takeuchi (Japan),Kick Chase,Green,946410,3,H,3000,Japan,37874,Shuhei,Takeuchi,1,105
66,70.760097043,89.00083166233289,Jack Cornelsen (Japan),Kick Chase,Green,946410,4,H,3000,Japan,23697,Jack,Cornelsen,1,105
67,71.09829291033043,89.00083166233289,Warner Dearns (Japan),Kick Chase,Green,946410,5,H,3000,Japan,40399,Warner,Dearns,1,105
68,71.49879695199877,89.00083166233289,Ben Gunter (Japan),Kick Chase,Green,946410,6,H,3000,Japan,26283,Ben,Gunter,1,109
69,71.79878428399651,89.00083166233289,Michael Leitch (Japan),Kick Chase,Green,946410,8,H,3000,Japan,11306,Michael,Leitch,1,109
70,72.3418403,83.34482001,Jake Gordon (Australia),Kick Retreat,Yellow,946410,9,A,100,Australia,22275,Jake,Gordon,1,109
71,72.39816749233484,89.00083166233289,Kanji Shimokawa (Japan),Kick Chase,Green,946410,7,H,3000,Japan,30962,Kanji,Shimokawa,1,109
72,72.652571231,83.786134687,Angus Bell (Australia),Kick Retreat,Green,946410,1,A,100,Australia,32109,Angus,Bell,1,109
73,72.652571231,83.786134687,Josh Nasser (Australia),Kick Retreat,Green,946410,2,A,100,Australia,25507,Josh,Nasser,1,109
74,72.652571231,83.786134687,Zane Nonggorr (Australia),Kick Retreat,Green,946410,3,A,100,Australia,31908,Zane,Nonggorr,1,109
75,72.652571231,83.786134687,Jeremy Williams (Australia),Kick Retreat,Yellow,946410,4,A,100,Australia,32101,Jeremy,Williams,1,109
76,72.652571231,83.786134687,Lukhan Salakaia-Loto (Australia),Kick Retreat,Yellow,946410,5,A,100,Australia,23334,Lukhan,Salakaia-Loto,1,109
77,72.652571231,83.786134687,Nicholas Champion de Crespigny (Australia),Kick Retreat,Green,946410,6,A,100,Australia,30375,Nicholas,Champion de Crespigny,1,109
78,72.652571231,83.786134687,Carlo Tizzano (Australia),Kick Retreat,Green,946410,7,A,100,Australia,32330,Carlo,Tizzano,1,109
79,72.652571231,83.786134687,Rob Valetini (Australia),Kick Retreat,Yellow,946410,8,A,100,Australia,26989,Rob,Valetini,1,109
80,72.652571231,83.786134687,Dylan Pietsch (Australia),Kick Retreat,Green,946410,11,A,100,Australia,27375,Dylan,Pietsch,1,109
81,72.652571231,83.786134687,Hunter Paisami (Australia),Kick Retreat,Green,946410,12,A,100,Australia,27748,Hunter,Paisami,1,109
82,72.652571231,83.786134687,Josh Flook (Australia),Kick Retreat,Green,946410,13,A,100,Australia,32110,Josh,Flook,1,109
83,72.652571231,83.786134687,Corey Toole (Australia),Kick Retreat,Green,946410,14,A,100,Australia,32171,Corey,Toole,1,109
84,73.41383219954649,79.99883576766469,Yoshitaka Yazaki (Japan),Kick Chase,Green,946410,15,H,3000,Japan,59862,Yoshitaka,Yazaki,1,109
